ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P147,P203,P204_NOM,P204_COD,P204_TIPO,P218A,P218B,P218C_NRO,P218C_PROD_CORTE_ENT,P218C_PROD_CORTE_DEC,OMICAP200_05
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,1,2,PASTO OVILLO,1451,3,2,3,3,19,620, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,1,2,PASTO OVILLO,1451,3,2,3,2,17,440, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,1,2,PASTO OVILLO,1451,3,2,3,1,17,440, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,1,3,PASTO SISO,1464,3,2,3,3,9,018, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,1,3,PASTO SISO,1464,3,2,3,2,7,515, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,1,3,PASTO SISO,1464,3,2,3,1,7,515, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,1,1,RYE GRASS,1476,3,2,3,1,30,195, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,1,1,RYE GRASS,1476,3,2,3,3,36,234, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,1,1,RYE GRASS,1476,3,2,3,2,30,195, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,2,1,RYE GRASS,1476,3,2,3,2,45,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,2,1,RYE GRASS,1476,3,2,3,3,51,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,2,1,RYE GRASS,1476,3,2,3,1,45,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,3,1,RYE GRASS,1476,3,2,3,1,45,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,3,1,RYE GRASS,1476,3,2,3,2,45,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,3,1,RYE GRASS,1476,3,2,3,3,54,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,4,1,PASTO OVILLO,1451,3,2,3,1,32,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,4,1,PASTO OVILLO,1451,3,2,3,2,32,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,4,1,PASTO OVILLO,1451,3,2,3,3,36,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,5,1,RYE GRASS,1476,3,2,3,2,15,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,5,1,RYE GRASS,1476,3,2,3,3,18,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,01,01,1,2,010134004,924.5078,1,,1,1,5,1,RYE GRASS,1476,3,2,3,1,15,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,02,02,1,2,010134004,188.7923,1,,1,1,1,1,PASTO OVILLO,1451,3,2,3,3,45,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,02,02,1,2,010134004,188.7923,1,,1,1,1,1,PASTO OVILLO,1451,3,2,3,1,37,500, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,02,02,1,2,010134004,188.7923,1,,1,1,1,1,PASTO OVILLO,1451,3,2,3,2,37,500, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,02,02,1,2,010134004,188.7923,1,,1,1,1,2,PASTO SISO,1464,3,2,3,1,15,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,02,02,1,2,010134004,188.7923,1,,1,1,1,2,PASTO SISO,1464,3,2,3,2,15,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,02,02,1,2,010134004,188.7923,1,,1,1,1,2,PASTO SISO,1464,3,2,3,3,18,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,02,02,1,2,010134004,188.7923,1,,1,1,2,1,PASTO SISO,1464,3,2,3,3,54,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,02,02,1,2,010134004,188.7923,1,,1,1,2,1,PASTO SISO,1464,3,2,3,1,48,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,02,02,1,2,010134004,188.7923,1,,1,1,2,1,PASTO SISO,1464,3,2,3,2,48,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,02,02,1,2,010134004,188.7923,1,,1,1,3,1,PASTO OVILLO,1451,3,2,3,2,30,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,02,02,1,2,010134004,188.7923,1,,1,1,3,1,PASTO OVILLO,1451,3,2,3,3,36,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,02,02,1,2,010134004,188.7923,1,,1,1,3,1,PASTO OVILLO,1451,3,2,3,1,30,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,03,03,1,2,010134004,203.3151,1,,1,1,1,1,PASTO OVILLO,1451,3,2,3,1,67,500, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,03,03,1,2,010134004,203.3151,1,,1,1,1,1,PASTO OVILLO,1451,3,2,3,2,67,500, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,03,03,1,2,010134004,203.3151,1,,1,1,1,1,PASTO OVILLO,1451,3,2,3,3,81,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,03,03,1,2,010134004,203.3151,1,,1,1,1,2,PASTO SISO,1464,3,2,3,3,85,500, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,03,03,1,2,010134004,203.3151,1,,1,1,1,2,PASTO SISO,1464,3,2,3,2,71,250, 
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,03,03,1,2,010134004,203.3151,1,,1,1,1,2,PASTO SISO,1464,3,2,3,1,71,250, 
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,1,4,PASTO KIKUYO,1438,3,2,4,4,28,125, 
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,1,4,PASTO KIKUYO,1438,3,2,4,2,28,125, 
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,1,4,PASTO KIKUYO,1438,3,2,4,1,28,125, 
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,1,4,PASTO KIKUYO,1438,3,2,4,3,28,125, 
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,1,3,PASTO OVILLO,1451,3,2,4,4,28,125, 
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,1,3,PASTO OVILLO,1451,3,2,4,3,28,125, 
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,1,3,PASTO OVILLO,1451,3,2,4,2,28,125, 
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,1,3,PASTO OVILLO,1451,3,2,4,1,28,125, 
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,1,1,RYE GRASS,1476,3,2,4,2,28,125, 
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,1,1,RYE GRASS,1476,3,2,4,1,28,125, 
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,1,1,RYE GRASS,1476,3,2,4,4,28,125, 
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,1,1,RYE GRASS,1476,3,2,4,3,28,125, 
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,1,2,TREBOL,1477,3,2,4,1,28,125, 
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,1,2,TREBOL,1477,3,2,4,3,28,125, 
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,1,2,TREBOL,1477,3,2,4,2,28,125, 
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,1,2,TREBOL,1477,3,2,4,4,28,125, 
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,3,2,PASTO KIKUYO,1438,3,2,4,3,10,000, 
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,3,2,PASTO KIKUYO,1438,3,2,4,4,10,000, 
