ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P147,P224B,P224B_NOM,P224B_COD,P224B_TIPO,P224D_SUP_1,P224D_SUP_2,P224E_1,P224E_2,P224E_3,P224E_4,P224E_5,P224E_6,P224E_7,OMICAP200_00
2025,01,AMAZONAS,01,CHACHAPOYAS,06,CHUQUIBAMBA,30016,06,06,1,2,010132004,4.379518,1,,1,1,4,1,FRIJOL PINTO,2930,1,0,050,0,0,1,0,0,0,0, 
2025,01,AMAZONAS,01,CHACHAPOYAS,09,LA JALCA,30023,03,03,1,2,010131004,4.533572,1,,1,1,2,1,PAPA BLANCA,2612,1,0,500,0,0,0,0,0,1,0, 
2025,01,AMAZONAS,01,CHACHAPOYAS,09,LA JALCA,30023,03,03,1,2,010131004,4.533572,1,,1,1,1,1,PAPA BLANCA,2612,1,0,301,0,0,0,0,0,1,0, 
2025,01,AMAZONAS,01,CHACHAPOYAS,17,QUINJALCA,30046,01,01,1,2,010131005,77.49801,1,,1,1,1,1,OLLUCO,2609,1,0,400,0,0,1,1,0,1,0, 
2025,01,AMAZONAS,01,CHACHAPOYAS,17,QUINJALCA,30046,01,01,1,2,010131005,77.49801,1,,1,1,1,2,OCA,2608,1,0,030,0,0,1,1,0,1,0, 
2025,01,AMAZONAS,02,BAGUA,01,BAGUA,30060,06,06,1,3,010293004,3.418994,1,,1,0,2,1,ARROZ CASCARA,2101,1,3,500,1,1,0,0,0,0,0, 
2025,01,AMAZONAS,02,BAGUA,01,BAGUA,30060,06,06,1,3,010293004,3.418994,1,,1,0,1,1,ARROZ CASCARA,2101,1,15,000,1,1,0,0,0,0,0, 
2025,01,AMAZONAS,02,BAGUA,01,BAGUA,30060,06,06,1,3,010293004,3.418994,1,,1,0,3,1,ARROZ CASCARA,2101,1,2,000,1,1,0,0,0,0,0, 
2025,01,AMAZONAS,02,BAGUA,01,BAGUA,30060,08,08,1,3,010293004,4.422313,1,,1,0,1,1,LIMON ACIDO,1140,3,1,215,0,0,0,0,0,1,0, 
2025,01,AMAZONAS,02,BAGUA,01,BAGUA,30061,02,02,1,3,010281005,45.37971,1,,1,0,1,1,ARROZ CASCARA,2101,1,5,000,0,0,0,0,0,1,0, 
2025,01,AMAZONAS,02,BAGUA,02,ARAMANGO,30062,06,06,1,3,010282005,2.611727,1,,1,1,2,1,NARANJO,1156,2,0,750,0,0,1,0,0,1,0, 
2025,01,AMAZONAS,02,BAGUA,02,ARAMANGO,30062,07,07,1,3,010282005,10.18427,1,,1,1,1,1,NARANJO,1156,2,0,500,0,0,1,0,0,1,0, 
2025,01,AMAZONAS,02,BAGUA,02,ARAMANGO,30065,06,06,1,3,010272004,6.897732,1,,1,1,2,1,YACON,2619,1,0,500,0,0,0,0,0,1,0, 
2025,01,AMAZONAS,02,BAGUA,02,ARAMANGO,30065,07,07,1,3,010272004,16.46589,1,,1,1,1,1,MAIZ AMARILLO DURO,2107,1,0,200,0,0,0,0,0,1,1, 
2025,01,AMAZONAS,02,BAGUA,02,ARAMANGO,30065,08,08,1,3,010272004,89.00714,1,,1,1,1,1,FRIJOL ASHPA,2904,1,0,050,0,0,0,0,0,1,0, 
2025,01,AMAZONAS,02,BAGUA,02,ARAMANGO,30065,08,08,1,3,010272004,89.00714,1,,1,1,1,2,FRIJOL SHINGO,2939,1,0,050,0,0,0,0,0,1,0, 
2025,01,AMAZONAS,02,BAGUA,02,ARAMANGO,30074,01,01,1,3,010282005,75.17447,1,,1,1,2,1,CACAO,1202,3,0,050,0,0,0,0,0,1,0, 
2025,01,AMAZONAS,02,BAGUA,02,ARAMANGO,30074,02,02,1,3,010282005,256.5258,1,,1,1,2,1,MAIZ AMARILLO DURO,2107,1,0,700,0,0,0,0,0,1,0, 
2025,01,AMAZONAS,02,BAGUA,02,ARAMANGO,30074,04,04,1,3,010282005,11.08695,1,,1,1,1,1,PLATANO,1171,3,0,200,0,0,0,0,0,1,0, 
2025,01,AMAZONAS,02,BAGUA,02,ARAMANGO,30079,01,01,1,3,010282005,85.37811,1,,1,1,1,1,PLATANO,1171,3,2,000,0,0,0,0,0,1,0, 
2025,01,AMAZONAS,02,BAGUA,02,ARAMANGO,30079,01,01,1,3,010282005,85.37811,1,,1,1,3,1,PLATANO,1171,3,1,000,0,0,0,0,0,1,0, 
2025,01,AMAZONAS,02,BAGUA,02,ARAMANGO,30079,01,01,1,3,010282005,85.37811,1,,1,1,1,2,CACAO,1202,3,1,900,0,0,0,0,0,1,0, 
2025,01,AMAZONAS,02,BAGUA,02,ARAMANGO,30079,01,01,1,3,010282005,85.37811,1,,1,1,3,2,PAPAYA,1163,2,1,000,0,0,0,0,0,1,0, 
2025,01,AMAZONAS,02,BAGUA,02,ARAMANGO,30079,02,02,1,3,010282005,11.74448,1,,1,1,2,1,PAPAYA,1163,2,1,000,0,0,0,0,0,1,0, 
2025,01,AMAZONAS,02,BAGUA,02,ARAMANGO,30079,04,04,1,3,010282005,56.11858,1,,1,1,1,1,PLATANO,1171,3,1,250,0,0,0,0,0,1,0, 
2025,01,AMAZONAS,02,BAGUA,02,ARAMANGO,30079,05,05,1,3,010282005,24.384,1,,1,1,1,1,PASTO BRIZANTA,1408,3,1,000,1,0,0,0,0,0,0, 
2025,01,AMAZONAS,02,BAGUA,02,ARAMANGO,30079,05,05,1,3,010282005,24.384,1,,1,1,4,1,MAIZ AMARILLO DURO,2107,1,1,000,0,0,0,0,0,1,0, 
2025,01,AMAZONAS,03,BONGARA,06,FLORIDA,30109,05,05,1,2,010373005,54.38698,1,,1,1,1,1,FRIJOL PINTO,2930,1,1,500,0,0,0,0,0,0,1, 
