ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P142_3,P105,P1202_N,P1202_NOM,P1202_COD,P1202_TIPO,P1203_SUP_1,P1203_SUP_2,P1204_MES,P1204_ANIO,P1205_MES,P1205_ANIO,OMICAP1200_IS
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30001,01,01,1,2,010134003,646.7235,1,,1,0,0,2,1,PASTO ELEFANTE,1424,3,2,000,8,2025,,,
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30001,04,04,1,2,010134003,28.89182,1,,1,1,0,1,1,PAPA AMARILLA,2611,1,0,005,5,2025,9,2025,
2025,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,30002,02,02,1,2,010134004,188.7923,1,,1,1,0,1,1,PAPA HUAYRO,2614,1,1,000,8,2025,1,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,0,3,1,PAPA AMARILLA,2611,1,0,500,8,2025,12,2025,
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,0,3,2,OLLUCO,2609,1,0,500,8,2025,2,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,0,3,3,HABA,2942,1,0,500,8,2025,2,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,02,ASUNCION,30003,01,01,1,2,010131005,37.58451,1,,1,1,0,4,1,PASTO ANGLETON,1403,3,1,000,12,2025,,,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30004,02,02,1,3,010182004,13.551,1,,1,0,0,1,1,MANGO,1147,2,0,250,6,2025,,,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30004,03,03,1,3,010182004,23.12763,1,,1,1,0,1,1,YUCA,2620,1,0,100,6,2025,2,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30004,03,03,1,3,010182004,23.12763,1,,1,1,0,1,2,MAIZ AMARILLO DURO,2107,1,0,100,6,2025,11,2025,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30004,03,03,1,3,010182004,23.12763,1,,1,1,0,1,3,CACAO,1202,3,0,250,6,2025,,,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30004,04,04,1,3,010182004,28.34508,1,,1,0,0,2,2,LIMON ACIDO,1140,3,0,010,11,2025,,,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30004,04,04,1,3,010182004,28.34508,1,,1,0,0,2,1,YUCA,2620,1,0,010,6,2025,5,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30004,05,05,1,3,010182004,33.79362,1,,1,0,0,1,1,MANGO,1147,2,0,500,10,2025,,,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30004,07,07,1,3,010182004,3.65623,1,,1,1,0,1,1,MANGO,1147,2,0,050,10,2025,,,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30005,01,01,1,2,010131005,15.23187,1,,1,1,0,1,1,ARVEJA,2901,1,0,250,7,2025,9,2025,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30005,01,01,1,2,010131005,15.23187,1,,1,1,0,5,4,TARHUI,2947,1,0,050,10,2025,6,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30005,01,01,1,2,010131005,15.23187,1,,1,1,0,5,2,MAIZ AMILACEO,2108,1,0,200,10,2025,6,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30005,01,01,1,2,010131005,15.23187,1,,1,1,0,5,1,ARVEJA,2901,1,0,250,6,2025,9,2025,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30005,01,01,1,2,010131005,15.23187,1,,1,1,0,5,3,FRIJOL CANARIO,2910,1,0,100,10,2025,6,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30005,03,03,1,2,010131005,4.550687,1,,1,0,0,2,2,LECHUGA,2326,1,0,050,6,2025,9,2025,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30005,03,03,1,2,010131005,4.550687,1,,1,0,0,2,1,PAPA HUAYRO,2614,1,0,500,10,2025,2,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30005,04,04,1,2,010131005,11.86704,1,,1,1,0,1,4,ARVEJA,2901,1,1,000,4,2026,7,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30005,04,04,1,2,010131005,11.86704,1,,1,1,0,1,2,MAIZ AMILACEO,2108,1,0,100,12,2025,8,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30005,04,04,1,2,010131005,11.86704,1,,1,1,0,1,1,PAPA HUAYRO,2614,1,1,000,2,2026,6,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30005,04,04,1,2,010131005,11.86704,1,,1,1,0,1,5,TRIGO,2113,1,0,500,3,2026,7,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,03,BALSAS,30005,04,04,1,2,010131005,11.86704,1,,1,1,0,1,3,FRIJOL CANARIO,2910,1,0,100,12,2025,8,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,01,01,1,2,010173004,.9082471,1,,1,1,0,2,1,PAPA HUAYRO,2614,1,0,200,6,2025,10,2025,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,03,03,1,2,010173004,.0629139,1,,1,0,0,1,2,ARVEJA,2901,1,0,100,7,2025,10,2025,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,03,03,1,2,010173004,.0629139,1,,1,0,0,1,1,PAPA HUAYRO,2614,1,0,400,7,2025,10,2025,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,03,03,1,2,010173004,.0629139,1,,1,0,0,2,4,LECHUGA,2326,1,0,100,7,2025,9,2025,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,03,03,1,2,010173004,.0629139,1,,1,0,0,2,1,ZANAHORIA,2344,1,0,500,7,2025,10,2025,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,03,03,1,2,010173004,.0629139,1,,1,0,0,2,2,ESPINACA,2322,1,0,250,7,2025,9,2025,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,03,03,1,2,010173004,.0629139,1,,1,0,0,2,3,CEBOLLA CHINA,2316,1,0,100,7,2025,9,2025,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,04,04,1,2,010173004,1.182987,1,,1,1,0,3,2,FRIJOL CHAUCHA,2912,1,0,400,10,2025,5,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,04,04,1,2,010173004,1.182987,1,,1,1,0,3,1,MAIZ AMILACEO,2108,1,1,000,10,2025,5,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,05,05,1,2,010173004,.0180519,1,,1,1,0,3,2,ARVEJA,2901,1,0,300,6,2025,10,2025,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,05,05,1,2,010173004,.0180519,1,,1,1,0,3,1,PAPA HUAYRO,2614,1,1,000,6,2025,10,2025,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,06,06,1,2,010173004,.393086,1,,1,1,0,1,1,PAPA HUAYRO,2614,1,1,500,6,2025,10,2025,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,06,06,1,2,010173004,.393086,1,,1,1,0,2,2,FRIJOL CHAUCHA,2912,1,0,500,6,2025,12,2025,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,06,06,1,2,010173004,.393086,1,,1,1,0,2,1,MAIZ AMILACEO,2108,1,1,000,6,2025,12,2025,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,06,06,1,2,010173004,.393086,1,,1,1,0,3,3,ZANAHORIA,2344,1,0,250,11,2025,2,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,06,06,1,2,010173004,.393086,1,,1,1,0,3,1,PAPA HUAYRO,2614,1,1,000,11,2025,2,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,06,06,1,2,010173004,.393086,1,,1,1,0,3,2,COL,2319,1,0,250,11,2025,2,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,06,06,1,2,010173004,.393086,1,,1,1,0,3,5,ZAPALLO,2345,1,0,500,11,2025,3,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,06,06,1,2,010173004,.393086,1,,1,1,0,3,4,ESPINACA,2322,1,0,250,8,2025,11,2025,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,07,07,1,2,010173004,.045539,1,,1,1,0,3,2,PAPA BLANCA,2612,1,0,500,10,2025,2,2026,
2025,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,30008,07,07,1,2,010173004,.045539,1,,1,1,0,3,4,ARVEJA,2901,1,0,250,10,2025,2,2026,
